,Organism group,ID,Create date,Isolation type,Location,Isolation source,Laboratory typing platform,Testing standard
2788,escherichia_coli,ID_25785605,2022-10-21T15:22:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2219,escherichia_coli,ID_23885765,2022-06-23T00:37:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2801,escherichia_coli,ID_25785865,2022-10-21T15:29:12Z,clinical,USA: District of Columbia,FLUID,Phoenix,CLSI
2124,escherichia_coli,ID_23883785,2022-06-23T00:20:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1732,escherichia_coli,ID_23875825,2022-06-22T23:11:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
75,escherichia_coli,ID_12479775,2017-04-13T20:40:10Z,clinical,USA:Boston,wound,Vitek,CLSI
2758,escherichia_coli,ID_25784685,2022-10-21T15:07:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2911,escherichia_coli,ID_25788655,2022-10-21T16:27:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2643,escherichia_coli,ID_25580205,2022-10-17T15:33:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
368,escherichia_coli,ID_25833695,2022-10-25T00:10:59Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
675,escherichia_coli,ID_15674235,2020-11-24T01:01:06Z,environmental/other,Canada: Quebec,manure,Sensititer,CLSI
753,escherichia_coli,ID_32334935,2024-02-06T18:05:24Z,clinical,USA:Boston,urine,Vitek,CLSI
1297,escherichia_coli,ID_23865435,2022-06-22T17:39:54Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2925,escherichia_coli,ID_25788935,2022-10-21T16:34:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
425,escherichia_coli,ID_32330435,2024-02-07T08:06:38Z,clinical,USA:Boston,blood,Vitek,CLSI
480,escherichia_coli,ID_12480015,2017-04-14T13:24:49Z,clinical,USA:Boston,urine,Vitek,CLSI
2182,escherichia_coli,ID_23884985,2022-06-23T00:32:01Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2015,escherichia_coli,ID_23881505,2022-06-23T00:04:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
11,escherichia_coli,ID_692435,2014-05-19T17:26:48Z,clinical,USA: Boston,swab,,
1614,escherichia_coli,ID_23871955,2022-06-22T18:44:59Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
864,escherichia_coli,ID_32123055,2024-02-06T22:13:33Z,clinical,USA:Boston,urine,Vitek,CLSI
1587,escherichia_coli,ID_23871375,2022-06-22T18:40:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1993,escherichia_coli,ID_23881055,2022-06-23T00:01:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1056,escherichia_coli,ID_23859285,2022-06-22T16:53:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
754,escherichia_coli,ID_32334215,2024-02-16T16:25:49Z,clinical,USA:Boston,urine,Vitek,CLSI
2779,escherichia_coli,ID_25785425,2022-10-21T15:18:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2561,escherichia_coli,ID_24165145,2022-07-06T07:04:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2394,escherichia_coli,ID_23891245,2022-06-23T01:17:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2091,escherichia_coli,ID_23883095,2022-06-23T00:16:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1404,escherichia_coli,ID_23867675,2022-06-22T18:07:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
154,escherichia_coli,ID_25828335,2022-10-24T23:31:38Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2412,escherichia_coli,ID_23891605,2022-06-23T01:20:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2125,escherichia_coli,ID_23883805,2022-06-23T00:20:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1524,escherichia_coli,ID_23870115,2022-06-22T18:30:05Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
614,escherichia_coli,ID_15671875,2020-11-24T00:21:15Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
2102,escherichia_coli,ID_23883325,2022-06-23T00:17:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2981,escherichia_coli,ID_12774935,2015-12-01T18:21:06Z,clinical,USA:Boston,blood,Vitek,CLSI
1900,escherichia_coli,ID_23879205,2022-06-22T23:41:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1403,escherichia_coli,ID_23867655,2022-06-22T18:07:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
537,escherichia_coli,ID_4567445,2019-07-12T10:50:36Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
1040,escherichia_coli,ID_23858965,2022-06-22T16:51:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1838,escherichia_coli,ID_23877955,2022-06-22T23:33:00Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1489,escherichia_coli,ID_23869425,2022-06-22T18:23:07Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2183,escherichia_coli,ID_23885005,2022-06-23T00:32:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1561,escherichia_coli,ID_23870875,2022-06-22T18:36:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
818,escherichia_coli,ID_32330315,2024-02-06T22:13:28Z,clinical,USA:Boston,urine,Vitek,CLSI
1137,escherichia_coli,ID_23860955,2022-06-22T17:05:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1190,escherichia_coli,ID_23862045,2022-06-22T17:13:42Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
996,escherichia_coli,ID_23858085,2022-06-22T16:45:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1449,escherichia_coli,ID_23868595,2022-06-22T18:14:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2633,escherichia_coli,ID_25579765,2022-10-17T16:51:11Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
218,escherichia_coli,ID_25829775,2022-10-24T23:43:23Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
664,escherichia_coli,ID_15673845,2020-11-24T00:55:20Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
572,escherichia_coli,ID_4566455,2019-07-12T10:50:45Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
1807,escherichia_coli,ID_23877325,2022-06-22T23:25:03Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
491,escherichia_coli,ID_12442165,2017-07-07T10:42:22Z,clinical,USA:Boston,urine,Vitek,CLSI
1661,escherichia_coli,ID_23874395,2022-06-22T23:02:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
763,escherichia_coli,ID_33200635,2024-02-07T14:04:01Z,clinical,USA:Boston,urine,Vitek,CLSI
1602,escherichia_coli,ID_23871675,2022-06-22T18:42:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1185,escherichia_coli,ID_23861945,2022-06-22T17:12:24Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2226,escherichia_coli,ID_23885905,2022-06-23T00:38:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2947,escherichia_coli,ID_25789395,2022-10-21T16:47:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
454,escherichia_coli,ID_38080915,2024-04-11T13:50:14Z,clinical,USA:Boston,Biliary tube placement,Vitek,CLSI
1357,escherichia_coli,ID_23866735,2022-06-22T17:55:52Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2201,escherichia_coli,ID_23885405,2022-06-23T00:34:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
817,escherichia_coli,ID_32330355,2024-02-17T02:04:51Z,clinical,USA:Boston,urine,Vitek,CLSI
731,escherichia_coli,ID_32337095,2024-02-16T16:25:49Z,clinical,USA:Boston,urine,Vitek,CLSI
